hypervolume,epsilon_progress,nfe
0.0,0,0
0.11262568706383205,11,100
0.0,0,0
0.1059094354908065,20,100
0.0,0,0
0.04832413856438919,12,100
0.21046819035065437,122,1189
0.24077963620360446,204,2275
0.3256236737107499,262,3364
0.3332145995552357,306,4449
0.33649333460647013,348,5536
0.33721728432206505,381,6626
0.3854030782493443,412,7716
0.44778099148983047,474,8807
0.458801121932259,584,9893
0.0,0,0
0.07811443281835473,11,100
0.3317550120265915,246,1191
0.4518394570350157,442,2277
0.4965549488307173,663,3367
0.4996589354020004,853,4452
0.5005522308535297,1007,5541
0.5010213268937266,1184,6627
0.501430032535783,1344,7720
0.5017312514755995,1489,8814
0.5019306722984651,1612,9907
